frame,time_sec,droplet_id,x,y,radius,area
0,0.0,0,500,110,19,1134.1149479459152
75,0.625,0,392,218,15,706.8583470577034
425,3.5416666666666665,0,618,312,10,314.1592653589793
480,4.0,0,604,322,11,380.1327110843649
505,4.208333333333333,0,606,322,11,380.1327110843649
515,4.291666666666667,0,606,322,11,380.1327110843649
670,5.583333333333333,0,642,306,10,314.1592653589793
715,5.958333333333333,0,370,424,19,1134.1149479459152
980,8.166666666666666,0,604,358,10,314.1592653589793
990,8.25,0,604,358,10,314.1592653589793
1080,9.0,0,606,356,10,314.1592653589793
1080,9.0,1,640,320,10,314.1592653589793
1160,9.666666666666666,0,618,346,8,201.06192982974676
1215,10.125,0,620,346,9,254.46900494077323
1230,10.25,0,618,348,9,254.46900494077323
1285,10.708333333333334,0,618,348,9,254.46900494077323
1325,11.041666666666666,0,634,332,10,314.1592653589793
1330,11.083333333333334,0,602,352,25,1963.4954084936207
1385,11.541666666666666,0,634,334,10,314.1592653589793
1470,12.25,0,618,358,9,254.46900494077323
1565,13.041666666666666,0,632,342,10,314.1592653589793
1585,13.208333333333334,0,632,342,9,254.46900494077323
1635,13.625,0,616,362,10,314.1592653589793
1695,14.125,0,630,344,24,1809.5573684677208
1700,14.166666666666666,0,632,344,9,254.46900494077323
1705,14.208333333333334,0,632,346,9,254.46900494077323
1715,14.291666666666666,0,632,344,11,380.1327110843649
1730,14.416666666666666,0,632,346,10,314.1592653589793
1755,14.625,0,632,346,10,314.1592653589793
1835,15.291666666666666,0,616,366,10,314.1592653589793
1895,15.791666666666666,0,618,366,12,452.3893421169302
1950,16.25,0,632,350,10,314.1592653589793
2010,16.75,0,634,352,10,314.1592653589793
2015,16.791666666666668,0,634,352,10,314.1592653589793
2040,17.0,0,634,352,9,254.46900494077323
2045,17.041666666666668,0,632,350,7,153.93804002589985
2055,17.125,0,634,354,10,314.1592653589793
2120,17.666666666666668,0,630,354,9,254.46900494077323
2125,17.708333333333332,0,630,354,9,254.46900494077323
2190,18.25,0,628,358,9,254.46900494077323
2515,20.958333333333332,0,518,100,18,1017.8760197630929
2605,21.708333333333332,0,618,362,10,314.1592653589793
3145,26.208333333333332,0,384,464,29,2642.079421669016
3340,27.833333333333332,0,514,102,29,2642.079421669016
3340,27.833333333333332,1,356,340,23,1661.9025137490005
3480,29.0,0,546,98,28,2463.0086404143976
3535,29.458333333333332,0,724,118,24,1809.5573684677208
3605,30.041666666666668,0,730,120,22,1520.5308443374597
3610,30.083333333333332,0,512,146,28,2463.0086404143976
3635,30.291666666666668,0,552,100,17,907.9202768874503
3700,30.833333333333332,0,456,156,27,2290.221044466959
3705,30.875,0,396,490,16,804.247719318987
3805,31.708333333333332,0,444,162,17,907.9202768874503
3825,31.875,0,458,160,12,452.3893421169302
4005,33.375,0,386,236,19,1134.1149479459152
4010,33.416666666666664,0,382,236,20,1256.6370614359173
4025,33.541666666666664,0,574,86,17,907.9202768874503
4035,33.625,0,576,86,22,1520.5308443374597
4090,34.083333333333336,0,558,88,22,1520.5308443374597
4090,34.083333333333336,1,410,214,24,1809.5573684677208
4100,34.166666666666664,0,586,88,12,452.3893421169302
4105,34.208333333333336,0,612,76,20,1256.6370614359173
4125,34.375,0,478,598,19,1134.1149479459152
4130,34.416666666666664,0,474,598,22,1520.5308443374597
4235,35.291666666666664,0,356,380,25,1963.4954084936207
4345,36.208333333333336,0,774,616,18,1017.8760197630929
4555,37.958333333333336,0,618,88,18,1017.8760197630929
4655,38.791666666666664,0,366,414,17,907.9202768874503
4735,39.458333333333336,0,694,114,15,706.8583470577034
4795,39.958333333333336,0,598,84,19,1134.1149479459152
4950,41.25,0,588,88,16,804.247719318987
5100,42.5,0,382,470,25,1963.4954084936207
5110,42.583333333333336,0,604,348,10,314.1592653589793
5110,42.583333333333336,1,508,142,15,706.8583470577034
5145,42.875,0,368,436,24,1809.5573684677208
5215,43.458333333333336,0,432,508,17,907.9202768874503
5240,43.666666666666664,0,476,144,29,2642.079421669016
5420,45.166666666666664,0,378,258,29,2642.079421669016
5465,45.541666666666664,0,378,246,11,380.1327110843649
5475,45.625,0,572,84,22,1520.5308443374597
5495,45.791666666666664,0,632,76,15,706.8583470577034
5505,45.875,0,406,210,29,2642.079421669016
5520,46.0,0,608,76,19,1134.1149479459152
5540,46.166666666666664,0,388,240,22,1520.5308443374597
5545,46.208333333333336,0,390,236,20,1256.6370614359173
5590,46.583333333333336,0,390,228,17,907.9202768874503
5685,47.375,0,796,598,20,1256.6370614359173
5720,47.666666666666664,0,408,204,26,2123.7166338267
5945,49.541666666666664,0,432,174,17,907.9202768874503
5960,49.666666666666664,0,394,488,22,1520.5308443374597
6170,51.416666666666664,0,668,616,22,1520.5308443374597
6175,51.458333333333336,0,606,80,19,1134.1149479459152
6240,52.0,0,436,170,23,1661.9025137490005
6260,52.166666666666664,0,390,224,24,1809.5573684677208
6590,54.916666666666664,0,442,160,16,804.247719318987
6625,55.208333333333336,0,434,548,27,2290.221044466959
6655,55.458333333333336,0,422,188,24,1809.5573684677208
6660,55.5,0,420,186,25,1963.4954084936207
6660,55.5,1,770,112,11,380.1327110843649
6665,55.541666666666664,0,424,186,25,1963.4954084936207
6725,56.041666666666664,0,630,74,22,1520.5308443374597
6725,56.041666666666664,1,408,206,17,907.9202768874503
6805,56.708333333333336,0,566,326,10,314.1592653589793
6830,56.916666666666664,0,450,206,24,1809.5573684677208
6885,57.375,0,626,644,22,1520.5308443374597
6945,57.875,0,360,376,26,2123.7166338267
7085,59.041666666666664,0,562,90,14,615.7521601035994
7175,59.791666666666664,0,416,294,18,1017.8760197630929
7335,61.125,0,570,328,12,452.3893421169302
7450,62.083333333333336,0,462,520,24,1809.5573684677208
7490,62.416666666666664,0,368,276,19,1134.1149479459152
7505,62.541666666666664,0,568,326,9,254.46900494077323
7545,62.875,0,498,600,27,2290.221044466959
7735,64.45833333333333,0,482,592,22,1520.5308443374597
8210,68.41666666666667,0,396,352,22,1520.5308443374597
8355,69.625,0,474,140,12,452.3893421169302
8515,70.95833333333333,0,568,328,8,201.06192982974676
8640,72.0,0,584,82,16,804.247719318987
8805,73.375,0,630,72,7,153.93804002589985
8925,74.375,0,594,84,17,907.9202768874503
8975,74.79166666666667,0,568,330,11,380.1327110843649
9095,75.79166666666667,0,568,332,11,380.1327110843649
9125,76.04166666666667,0,568,330,9,254.46900494077323
9130,76.08333333333333,0,568,330,8,201.06192982974676
9270,77.25,0,566,326,10,314.1592653589793
9295,77.45833333333333,0,566,326,9,254.46900494077323
9330,77.75,0,564,326,10,314.1592653589793
9355,77.95833333333333,0,566,326,10,314.1592653589793
9395,78.29166666666667,0,566,328,10,314.1592653589793
9425,78.54166666666667,0,564,328,9,254.46900494077323
9440,78.66666666666667,0,598,640,24,1809.5573684677208
9470,78.91666666666667,0,780,604,22,1520.5308443374597
9485,79.04166666666667,0,562,328,9,254.46900494077323
9525,79.375,0,560,328,12,452.3893421169302
9530,79.41666666666667,0,570,84,21,1385.442360233099
9655,80.45833333333333,0,390,244,17,907.9202768874503
